Player,Season,Team,GP,G,A,P,+/-,P/GP,S,S%
Jordan Oesterle,20192020,ARI,9,1,3,4,1,0.44,11,9.1
Charlie McAvoy,20192020,BOS,13,1,3,4,-6,0.31,29,3.5
Zach Sanford,20192020,STL,9,1,3,4,-1,0.44,13,7.7
Sammy Blais,20192020,STL,8,1,3,4,0,0.5,9,11.1
TJ Brodie,20192020,CGY,10,1,3,4,0,0.4,4,25
Phil Kessel,20192020,ARI,9,1,3,4,-1,0.44,22,4.6
Oliver Ekman-Larsson,20192020,ARI,9,1,3,4,3,0.44,16,6.3
Aleksander Barkov,20192020,FLA,4,1,3,4,0,1,14,7.1
Paul Byron,20192020,MTL,10,1,3,4,4,0.4,9,11.1
Martin Necas,20192020,CAR,8,1,3,4,0,0.5,8,12.5
Alexandre Texier,20192020,CBJ,10,0,4,4,0,0.4,27,0
Adam Pelech,20192020,NYI,18,0,4,4,3,0.22,20,0
Mitchell Marner,20192020,TOR,5,0,4,4,-1,0.8,15,0
Ryan Reaves,20192020,VGK,16,0,4,4,2,0.25,8,0
Zach Bogosian,20192020,TBL,14,0,4,4,4,0.29,30,0
Jason Demers,20192020,ARI,9,0,4,4,5,0.44,7,0
Connor Murphy,20192020,CHI,9,0,4,4,-1,0.44,12,0
Erik Gustafsson,20192020,CGY,10,0,4,4,1,0.4,22,0
Ondrej Kase,20192020,BOS,11,0,4,4,-1,0.36,27,0
Noah Hanifin,20192020,CGY,10,0,4,4,2,0.4,22,0
Roman Josi,20192020,NSH,4,0,4,4,-2,1,21,0
Michael Grabner,20192020,ARI,9,3,0,3,-1,0.33,13,23.1
Oliver Bjorkstrand,20192020,CBJ,10,3,0,3,-5,0.3,25,12
Viktor Arvidsson,20192020,NSH,4,3,0,3,0,0.75,16,18.8
T.J. Oshie,20192020,WSH,8,3,0,3,-7,0.38,18,16.7
Jordan Martinook,20192020,CAR,8,2,1,3,0,0.38,8,25
James Neal,20192020,EDM,4,2,1,3,3,0.75,11,18.2
Pierre-Edouard Bellemare,20192020,COL,15,2,1,3,0,0.2,21,9.5
Valeri Nichushkin,20192020,COL,15,2,1,3,0,0.2,18,11.1
Chris Wagner,20192020,BOS,12,2,1,3,-5,0.25,20,10
Tomas Nosek,20192020,VGK,7,2,1,3,0,0.43,3,66.7
Dylan Strome,20192020,CHI,9,2,1,3,-3,0.33,10,20
Zach Whitecloud,20192020,VGK,17,2,1,3,1,0.18,16,12.5
Sidney Crosby,20192020,PIT,4,2,1,3,0,0.75,13,15.4
William Carrier,20192020,VGK,17,2,1,3,3,0.18,23,8.7
Jeff Petry,20192020,MTL,10,2,1,3,1,0.3,15,13.3
Nicolas Aube-Kubel,20192020,PHI,13,2,1,3,1,0.23,13,15.4
Tyler Pitlick,20192020,PHI,16,2,1,3,-3,0.19,16,12.5
Brad Richardson,20192020,ARI,9,2,1,3,-1,0.33,16,12.5
Jake Virtanen,20192020,VAN,16,2,1,3,2,0.19,16,12.5
John Tavares,20192020,TOR,5,2,1,3,-3,0.6,24,8.3
Christian Dvorak,20192020,ARI,9,2,1,3,1,0.33,11,18.2
